Year,Male,Female,Total
1991,1727100,1783200,3510300
1992,1746100,1799900,3545900
1993,1768700,1821700,3590400
1994,1793800,1846300,3640100
1995,1823400,1874300,3697700
1996,1851500,1902500,3753900
1997,1870400,1926500,3797000
1998,1881600,1943500,3825100
1999,1889400,1956700,3846100
2000,1898600,1970300,3869000
2001,1915400,1990400,3905800
2002,1951200,2027400,3978600
2003,1987800,2065300,4053100
2004,2013000,2094400,4107500
2005,2034100,2119400,4153500
2006,2056500,2145800,4202300
2007,2074100,2165900,4240000
2008,2090700,2184300,4274900
2009,2115600,2209200,4324700
2010,2136300,2232000,4368300
2011,2149300,2246500,4395700
2012,2161200,2259600,4420700
2013,2187000,2280700,4467600
2014,2236900,2315500,4552300
2015,2292900,2357100,4650000
2016,2350200,2404200,4754400
2017,2401100,2446800,4847900
2018,2445900,2485400,4931300
2019,2494100,2529900,5023900
2020,2535600,2572100,5107700