Category,New Zealand,Auckland Region,Tauranga City,Hamilton City,Wellington City,Christchurch City,Dunedin City
Loss,0.5,0.6,0.4,0.5,0.4,0.5,0.5
Zero income,6.8,8.7,5.3,7.3,6,6.3,5.8
$1-$5k,5.6,6.2,4.7,6,6.3,5.4,8.5
$5k-$10k,4.7,4.9,3.8,5.2,5.2,4.8,7.1
$10k-$15k,6.9,6.4,6.6,7.5,5.9,6.8,8.1
$15k-$20k,9.9,8.1,11.3,10.1,6.6,9.5,10.6
$20k-$25k,8.1,6.5,9.7,7.8,5.6,8.2,8.9
$25k-$30k,5.6,4.7,6.4,5.3,4.2,5.5,5.7
$30k-$35k,4.9,4.4,5.5,4.9,3.8,5,4.7
$35k-$40k,5.6,5.3,5.9,5.8,4.5,5.8,5.2
$40k-$50k,9.7,9.6,10,10.1,8.4,10.3,8.7
$50k-$60k,8.2,8.4,8.1,8.1,7.8,8.8,7.2
$60k-$70k,6.2,6.4,6.2,6.2,6.6,6.5,5.6
$70k-$100k,9.6,10.3,9.5,9.3,12.5,9.6,8.2
$100k-$150k,4.7,5.6,4.2,3.9,9.4,4.3,3.4
$150k or more,2.9,3.9,2.4,1.9,6.7,2.6,1.9